word,frequency
vijay,3171
tamil,2513
india,2359
nadu,1934
party,1818
tvk,1462
political,1390
elections,1255
government,1103
politics,1056
said,1013
news,871
dmk,857
kazhagam,822
actor,810
film,766
tamilaga,716
vettri,710
also,698
chennai,688
state,682
rights,672
language,665
english,627
bjp,610
social,586
people,584
body,556
new,541
end,536
public,524
media,514
words,511
times,503
length,503
document,503
subject,497
thalapathy,488
reserved,488
classification,488
copyright,487
geographic,477
chief,450
industry,438
assembly,423
february,401
negative,400
delhi,385
would,358
minister,356
